 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Neon in  H- O.txt

 Ion = Neon [10] , Mass = 19,992 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 110,00 GeV   2,119E+01  7,464E-04    5,03 m    169,36 mm    13,02 mm  
 120,00 GeV   2,138E+01  6,880E-04    5,50 m    181,93 mm    13,80 mm  
 130,00 GeV   2,156E+01  6,383E-04    5,96 m    193,49 mm    14,54 mm  
 140,00 GeV   2,173E+01  5,955E-04    6,42 m    204,22 mm    15,24 mm  
 150,00 GeV   2,190E+01  5,582E-04    6,88 m    214,26 mm    15,91 mm  
 160,00 GeV   2,207E+01  5,254E-04    7,34 m    223,71 mm    16,56 mm  
 170,00 GeV   2,222E+01  4,963E-04    7,79 m    232,65 mm    17,17 mm  
 180,00 GeV   2,237E+01  4,704E-04    8,24 m    241,14 mm    17,76 mm  
 190,00 GeV   1,119E+01  4,472E-04    8,86 m    257,42 mm    18,54 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  1,0000E-02                keV / (ug/cm2) 
  1,0000E-02                MeV / (mg/cm2) 
  1,0000E+01                keV / (mg/cm2) 
  9,9709E-02                 eV / (1E15 atoms/cm2)
  1,2052E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
