 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Magnesium in  H- O.txt

 Ion = Magnesium [12] , Mass = 23,985 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6,00 MeV   1,697E+03  8,312E+00    7,73 um     4287 A      5651 A   
   6,50 MeV   1,756E+03  7,786E+00    8,01 um     4318 A      5693 A   
   7,00 MeV   1,808E+03  7,327E+00    8,29 um     4346 A      5731 A   
   8,00 MeV   1,890E+03  6,564E+00    8,83 um     4429 A      5798 A   
   9,00 MeV   1,950E+03  5,955E+00    9,35 um     4503 A      5854 A   
  10,00 MeV   1,995E+03  5,456E+00    9,85 um     4571 A      5904 A   
  11,00 MeV   2,026E+03  5,039E+00   10,35 um     4636 A      5949 A   
  12,00 MeV   2,047E+03  4,686E+00   10,84 um     4697 A      5990 A   
  13,00 MeV   2,060E+03  4,382E+00   11,32 um     4756 A      6027 A   
  14,00 MeV   2,065E+03  4,117E+00   11,81 um     4813 A      6062 A   
  15,00 MeV   2,065E+03  3,885E+00   12,29 um     4869 A      6096 A   
  16,00 MeV   2,059E+03  3,679E+00   12,77 um     4924 A      6127 A   
  17,00 MeV   2,050E+03  3,495E+00   13,26 um     4979 A      6158 A   
  18,00 MeV   2,038E+03  3,330E+00   13,75 um     5034 A      6187 A   
  20,00 MeV   2,007E+03  3,045E+00   14,73 um     5236 A      6243 A   
