 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  H- O.txt

 Ion = Hydrogen [1] , Mass = 1,008 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  11,00 MeV   4,310E+00  2,478E-03    1,42 mm    62,91 um    40,12 um  
  12,00 MeV   4,016E+00  2,290E-03    1,66 mm    72,03 um    46,64 um  
  13,00 MeV   3,763E+00  2,130E-03    1,92 mm    81,25 um    53,60 um  
  14,00 MeV   3,543E+00  1,992E-03    2,19 mm    90,62 um    60,97 um  
  15,00 MeV   3,349E+00  1,872E-03    2,48 mm   100,15 um    68,77 um  
  16,00 MeV   3,177E+00  1,765E-03    2,79 mm   109,84 um    76,98 um  
  17,00 MeV   3,024E+00  1,671E-03    3,11 mm   119,70 um    85,59 um  
  18,00 MeV   2,886E+00  1,586E-03    3,45 mm   129,74 um    94,61 um  
  20,00 MeV   2,648E+00  1,442E-03    4,17 mm   166,70 um   113,83 um  
  22,50 MeV   2,405E+00  1,295E-03    5,16 mm   219,56 um   140,04 um  
  25,00 MeV   2,207E+00  1,177E-03    6,24 mm   269,81 um   168,61 um  
  27,50 MeV   2,042E+00  1,079E-03    7,42 mm   319,17 um   199,47 um  
  30,00 MeV   1,903E+00  9,967E-04    8,69 mm   368,41 um   232,57 um  
  32,50 MeV   1,783E+00  9,265E-04   10,04 mm   417,91 um   267,86 um  
  35,00 MeV   1,679E+00  8,659E-04   11,48 mm   467,90 um   305,30 um  
  37,50 MeV   1,588E+00  8,131E-04   13,01 mm   518,49 um   344,84 um  
  40,00 MeV   1,508E+00  7,665E-04   14,62 mm   569,75 um   386,43 um  
  45,00 MeV   1,372E+00  6,882E-04   18,10 mm   758,25 um   475,66 um  
  50,00 MeV   1,261E+00  6,250E-04   21,89 mm   935,57 um   572,69 um  
  55,00 MeV   1,169E+00  5,727E-04   26,01 mm     1,11 mm   677,23 um  
  60,00 MeV   1,091E+00  5,288E-04   30,43 mm     1,28 mm   789,05 um  
  65,00 MeV   1,025E+00  4,914E-04   35,15 mm     1,45 mm   907,89 um  
  70,00 MeV   9,674E-01  4,591E-04   40,16 mm     1,62 mm     1,03 mm  
  80,00 MeV   8,727E-01  4,061E-04   51,03 mm     2,25 mm     1,30 mm  
