 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Sodium in  H- O.txt

 Ion = Sodium [11] , Mass = 22,99 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30,00 GeV   2,602E+01  3,444E-03  870,57 mm    31,75 mm     3,16 mm  
  32,50 GeV   2,577E+01  3,197E-03  967,12 mm    34,56 mm     3,45 mm  
  35,00 GeV   2,557E+01  2,984E-03    1,06 m     37,21 mm     3,73 mm  
  37,50 GeV   2,543E+01  2,799E-03    1,16 m     39,71 mm     4,00 mm  
  40,00 GeV   2,532E+01  2,636E-03    1,26 m     42,09 mm     4,27 mm  
  45,00 GeV   2,518E+01  2,362E-03    1,46 m     50,56 mm     4,79 mm  
  50,00 GeV   2,512E+01  2,141E-03    1,66 m     57,86 mm     5,29 mm  
  55,00 GeV   2,511E+01  1,959E-03    1,86 m     64,35 mm     5,77 mm  
  60,00 GeV   2,513E+01  1,806E-03    2,06 m     70,24 mm     6,23 mm  
  65,00 GeV   2,518E+01  1,676E-03    2,25 m     75,66 mm     6,68 mm  
  70,00 GeV   2,525E+01  1,564E-03    2,45 m     80,69 mm     7,10 mm  
  80,00 GeV   2,542E+01  1,381E-03    2,85 m     98,11 mm     7,91 mm  
  90,00 GeV   2,562E+01  1,237E-03    3,24 m    112,68 mm     8,66 mm  
 100,00 GeV   2,583E+01  1,121E-03    3,63 m    125,37 mm     9,36 mm  
 110,00 GeV   2,604E+01  1,025E-03    4,01 m    136,72 mm    10,03 mm  
 120,00 GeV   2,625E+01  9,449E-04    4,40 m    147,03 mm    10,65 mm  
 130,00 GeV   2,646E+01  8,767E-04    4,78 m    156,52 mm    11,25 mm  
 140,00 GeV   2,666E+01  8,179E-04    5,15 m    165,33 mm    11,82 mm  
 150,00 GeV   2,685E+01  7,667E-04    5,53 m    173,58 mm    12,36 mm  
 160,00 GeV   2,704E+01  7,218E-04    5,90 m    181,34 mm    12,88 mm  
 170,00 GeV   2,723E+01  6,819E-04    6,26 m    188,68 mm    13,37 mm  
 180,00 GeV   2,740E+01  6,463E-04    6,63 m    195,65 mm    13,85 mm  
 200,00 GeV   2,774E+01  5,855E-04    7,36 m    220,91 mm    14,76 mm  
 220,00 GeV   2,805E+01  5,354E-04    8,07 m    243,06 mm    15,60 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  1,0000E-02                keV / (ug/cm2) 
  1,0000E-02                MeV / (mg/cm2) 
  1,0000E+01                keV / (mg/cm2) 
  9,9709E-02                 eV / (1E15 atoms/cm2)
  1,0859E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
