 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Fluorine in  H- O.txt

 Ion = Fluorine [9] , Mass = 18,998 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6,00 MeV   1,431E+03  4,035E+00    7,75 um     3500 A      4548 A   
   6,50 MeV   1,448E+03  3,775E+00    8,10 um     3544 A      4587 A   
   7,00 MeV   1,460E+03  3,549E+00    8,44 um     3586 A      4623 A   
   8,00 MeV   1,470E+03  3,173E+00    9,12 um     3729 A      4689 A   
   9,00 MeV   1,470E+03  2,874E+00    9,80 um     3864 A      4748 A   
  10,00 MeV   1,461E+03  2,630E+00   10,48 um     3995 A      4804 A   
  11,00 MeV   1,446E+03  2,426E+00   11,17 um     4124 A      4855 A   
  12,00 MeV   1,428E+03  2,253E+00   11,86 um     4250 A      4905 A   
  13,00 MeV   1,408E+03  2,105E+00   12,57 um     4376 A      4953 A   
  14,00 MeV   1,386E+03  1,976E+00   13,28 um     4502 A      5000 A   
  15,00 MeV   1,363E+03  1,863E+00   14,01 um     4628 A      5045 A   
  16,00 MeV   1,340E+03  1,763E+00   14,74 um     4754 A      5090 A   
  17,00 MeV   1,317E+03  1,674E+00   15,50 um     4882 A      5135 A   
  18,00 MeV   1,294E+03  1,594E+00   16,26 um     5010 A      5180 A   
  20,00 MeV   1,251E+03  1,456E+00   17,83 um     5498 A      5268 A   
  22,50 MeV   1,200E+03  1,315E+00   19,87 um     6228 A      5380 A   
  25,00 MeV   1,154E+03  1,201E+00   21,99 um     6933 A      5494 A   
  27,50 MeV   1,112E+03  1,106E+00   24,20 um     7621 A      5611 A   
  30,00 MeV   1,073E+03  1,026E+00   26,48 um     8298 A      5731 A   
  32,50 MeV   1,038E+03  9,566E-01   28,85 um     8966 A      5855 A   
  35,00 MeV   1,005E+03  8,969E-01   31,29 um     9628 A      5982 A   
  37,50 MeV   9,753E+02  8,446E-01   33,82 um     1,03 um     6114 A   
  40,00 MeV   9,582E+02  7,983E-01   36,40 um     1,09 um     6250 A   
  45,00 MeV   9,233E+02  7,202E-01   41,71 um     1,33 um     6530 A   
  50,00 MeV   8,770E+02  6,567E-01   47,27 um     1,55 um     6825 A   
  55,00 MeV   8,356E+02  6,041E-01   53,10 um     1,76 um     7137 A   
  60,00 MeV   7,992E+02  5,596E-01   59,22 um     1,96 um     7467 A   
  65,00 MeV   7,667E+02  5,215E-01   65,60 um     2,16 um     7813 A   
  70,00 MeV   7,375E+02  4,886E-01   72,25 um     2,36 um     8176 A   
  80,00 MeV   6,865E+02  4,343E-01   86,30 um     3,09 um     8952 A   
  90,00 MeV   6,430E+02  3,913E-01  101,35 um     3,76 um     9790 A   
 100,00 MeV   6,051E+02  3,564E-01  117,37 um     4,39 um     1,07 um  
 110,00 MeV   5,715E+02  3,275E-01  134,37 um     5,01 um     1,16 um  
 120,00 MeV   5,413E+02  3,032E-01  152,35 um     5,63 um     1,27 um  
 130,00 MeV   5,139E+02  2,823E-01  171,30 um     6,24 um     1,37 um  
 140,00 MeV   4,888E+02  2,643E-01  191,25 um     6,85 um     1,49 um  
 150,00 MeV   4,658E+02  2,486E-01  212,20 um     7,47 um     1,61 um  
 160,00 MeV   4,445E+02  2,346E-01  234,17 um     8,10 um     1,73 um  
 170,00 MeV   4,248E+02  2,223E-01  257,17 um     8,73 um     1,86 um  
 180,00 MeV   4,065E+02  2,112E-01  281,23 um     9,38 um     2,00 um  
 200,00 MeV   3,737E+02  1,922E-01  332,54 um    11,87 um     2,29 um  
 225,00 MeV   3,384E+02  1,730E-01  402,84 um    15,50 um     2,68 um  
 250,00 MeV   3,085E+02  1,574E-01  480,20 um    18,99 um     3,12 um  
 275,00 MeV   2,831E+02  1,445E-01  564,78 um    22,47 um     3,59 um  
 300,00 MeV   2,613E+02  1,336E-01  656,68 um    25,98 um     4,11 um  
 325,00 MeV   2,427E+02  1,243E-01  755,93 um    29,55 um     4,67 um  
 350,00 MeV   2,267E+02  1,163E-01  862,51 um    33,20 um     5,27 um  
 375,00 MeV   2,129E+02  1,093E-01  976,29 um    36,92 um     5,91 um  
 400,00 MeV   2,010E+02  1,031E-01    1,10 mm    40,71 um     6,59 um  
 450,00 MeV   1,820E+02  9,270E-02    1,36 mm    55,05 um     8,07 um  
 500,00 MeV   1,679E+02  8,428E-02    1,64 mm    68,38 um     9,70 um  
 550,00 MeV   1,576E+02  7,732E-02    1,95 mm    81,09 um    11,45 um  
 600,00 MeV   1,480E+02  7,146E-02    2,28 mm    93,44 um    13,30 um  
 650,00 MeV   1,386E+02  6,646E-02    2,63 mm   105,75 um    15,27 um  
 700,00 MeV   1,305E+02  6,214E-02    3,00 mm   118,16 um    17,36 um  
 800,00 MeV   1,171E+02  5,504E-02    3,81 mm   164,63 um    21,89 um  
 900,00 MeV   1,065E+02  4,945E-02    4,70 mm   207,87 um    26,86 um  
   1,00 GeV   9,784E+01  4,493E-02    5,68 mm   249,98 um    32,28 um  
   1,10 GeV   9,067E+01  4,120E-02    6,75 mm   291,78 um    38,12 um  
   1,20 GeV   8,462E+01  3,806E-02    7,89 mm   333,66 um    44,37 um  
   1,30 GeV   7,945E+01  3,538E-02    9,11 mm   375,79 um    51,02 um  
   1,40 GeV   7,497E+01  3,306E-02   10,40 mm   418,30 um    58,06 um  
   1,50 GeV   7,105E+01  3,104E-02   11,77 mm   461,22 um    65,47 um  
