 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Aluminum in  H- O.txt

 Ion = Aluminum [13] , Mass = 26,982 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 225,00 MeV   8,426E+02  4,773E-01  187,10 um     6,66 um     1,38 um  
 250,00 MeV   7,903E+02  4,346E-01  217,73 um     7,95 um     1,53 um  
 275,00 MeV   7,432E+02  3,992E-01  250,34 um     9,20 um     1,68 um  
 300,00 MeV   7,005E+02  3,694E-01  284,98 um    10,43 um     1,84 um  
 325,00 MeV   6,616E+02  3,440E-01  321,70 um    11,66 um     2,02 um  
 350,00 MeV   6,259E+02  3,219E-01  360,54 um    12,89 um     2,20 um  
 375,00 MeV   5,932E+02  3,027E-01  401,57 um    14,15 um     2,39 um  
 400,00 MeV   5,631E+02  2,857E-01  444,81 um    15,42 um     2,60 um  
 450,00 MeV   5,103E+02  2,571E-01  538,08 um    20,31 um     3,04 um  
 500,00 MeV   4,660E+02  2,339E-01  640,61 um    24,97 um     3,52 um  
 550,00 MeV   4,290E+02  2,147E-01  752,44 um    29,58 um     4,05 um  
 600,00 MeV   3,985E+02  1,985E-01  873,37 um    34,18 um     4,62 um  
 650,00 MeV   3,737E+02  1,847E-01    1,00 mm    38,81 um     5,23 um  
 700,00 MeV   3,539E+02  1,728E-01    1,14 mm    43,42 um     5,88 um  
 800,00 MeV   3,277E+02  1,532E-01    1,43 mm    60,12 um     7,26 um  
 900,00 MeV   3,007E+02  1,377E-01    1,75 mm    75,17 um     8,76 um  
   1,00 GeV   2,770E+02  1,252E-01    2,10 mm    89,78 um    10,37 um  
   1,10 GeV   2,571E+02  1,149E-01    2,47 mm   104,30 um    12,10 um  
   1,20 GeV   2,402E+02  1,062E-01    2,88 mm   118,87 um    13,95 um  
   1,30 GeV   2,257E+02  9,874E-02    3,31 mm   133,54 um    15,90 um  
   1,40 GeV   2,130E+02  9,232E-02    3,76 mm   148,35 um    17,98 um  
   1,50 GeV   2,020E+02  8,671E-02    4,24 mm   163,32 um    20,15 um  
   1,60 GeV   1,921E+02  8,177E-02    4,75 mm   178,47 um    22,44 um  
   1,70 GeV   1,834E+02  7,739E-02    5,28 mm   193,78 um    24,83 um  
   1,80 GeV   1,755E+02  7,347E-02    5,84 mm   209,27 um    27,32 um  
   2,00 GeV   1,619E+02  6,675E-02    7,03 mm   268,39 um    32,60 um  
   2,25 GeV   1,481E+02  5,996E-02    8,64 mm   352,56 um    39,73 um  
