 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Boron in  H- O.txt

 Ion = Boron [5] , Mass = 11,009 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 160,00 MeV   8,753E+01  4,648E-02    1,01 mm    38,27 um     8,12 um  
 170,00 MeV   8,274E+01  4,401E-02    1,13 mm    41,76 um     9,01 um  
 180,00 MeV   7,842E+01  4,179E-02    1,26 mm    45,35 um     9,96 um  
 200,00 MeV   7,095E+01  3,799E-02    1,52 mm    59,22 um    11,99 um  
 225,00 MeV   6,343E+01  3,415E-02    1,90 mm    79,41 um    14,83 um  
 250,00 MeV   5,754E+01  3,104E-02    2,31 mm    98,78 um    17,99 um  
 275,00 MeV   5,298E+01  2,846E-02    2,76 mm   117,86 um    21,44 um  
 300,00 MeV   4,953E+01  2,630E-02    3,25 mm   136,73 um    25,18 um  
 325,00 MeV   4,703E+01  2,446E-02    3,77 mm   155,28 um    29,15 um  
 350,00 MeV   4,443E+01  2,286E-02    4,32 mm   173,64 um    33,33 um  
 375,00 MeV   4,198E+01  2,147E-02    4,89 mm   192,16 um    37,75 um  
 400,00 MeV   3,982E+01  2,024E-02    5,51 mm   210,91 um    42,39 um  
 450,00 MeV   3,617E+01  1,818E-02    6,82 mm   281,83 um    52,38 um  
 500,00 MeV   3,320E+01  1,652E-02    8,27 mm   348,36 um    63,26 um  
 550,00 MeV   3,074E+01  1,514E-02    9,83 mm   413,16 um    75,01 um  
