 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Oxygen in  H- O.txt

 Ion = Oxygen [8] , Mass = 15,995 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  13,00 MeV   1,170E+03  1,452E+00   13,88 um     4666 A      4999 A   
  14,00 MeV   1,146E+03  1,362E+00   14,74 um     4835 A      5054 A   
  15,00 MeV   1,123E+03  1,284E+00   15,62 um     5005 A      5109 A   
  16,00 MeV   1,099E+03  1,215E+00   16,52 um     5175 A      5164 A   
  17,00 MeV   1,076E+03  1,153E+00   17,44 um     5347 A      5219 A   
  18,00 MeV   1,054E+03  1,097E+00   18,38 um     5521 A      5274 A   
  20,00 MeV   1,011E+03  1,002E+00   20,31 um     6183 A      5386 A   
  22,50 MeV   9,623E+02  9,046E-01   22,84 um     7169 A      5530 A   
  25,00 MeV   9,177E+02  8,256E-01   25,50 um     8118 A      5679 A   
  27,50 MeV   8,772E+02  7,599E-01   28,28 um     9046 A      5834 A   
  30,00 MeV   8,404E+02  7,044E-01   31,19 um     9960 A      5997 A   
  32,50 MeV   8,099E+02  6,568E-01   34,22 um     1,09 um     6167 A   
  35,00 MeV   7,905E+02  6,156E-01   37,34 um     1,17 um     6343 A   
  37,50 MeV   7,688E+02  5,795E-01   40,55 um     1,26 um     6525 A   
  40,00 MeV   7,427E+02  5,477E-01   43,85 um     1,35 um     6714 A   
  45,00 MeV   6,935E+02  4,939E-01   50,82 um     1,67 um     7116 A   
  50,00 MeV   6,519E+02  4,502E-01   58,25 um     1,98 um     7550 A   
  55,00 MeV   6,161E+02  4,139E-01   66,14 um     2,28 um     8016 A   
  60,00 MeV   5,850E+02  3,833E-01   74,46 um     2,57 um     8514 A   
  65,00 MeV   5,576E+02  3,572E-01   83,21 um     2,85 um     9044 A   
